Driver,Team,LapTimeSeconds,LapNumber,Stint,TyreLife,Compound,TrackStatus,PitInTime,PitOutTime
OCO,Alpine,90.988,4,1.0,3.0,MEDIUM,0,,
STR,Aston Martin,91.017,4,1.0,4.0,HARD,0,,
SAI,Ferrari,91.099,4,1.0,3.0,HARD,0,,
HUL,Haas F1 Team,91.374,4,1.0,3.0,MEDIUM,0,,
RIC,AlphaTauri,91.284,4,1.0,3.0,MEDIUM,0,,
BOT,Alfa Romeo,91.281,4,1.0,3.0,HARD,0,,
ZHO,Alfa Romeo,91.303,4,1.0,3.0,MEDIUM,0,,
ALB,Williams,91.591,4,1.0,4.0,MEDIUM,0,,
MAG,Haas F1 Team,91.593,4,1.0,3.0,MEDIUM,0,,
SAR,Williams,91.487,4,1.0,4.0,MEDIUM,0,,
VER,Red Bull Racing,90.552,5,1.0,4.0,MEDIUM,0,,
LEC,Ferrari,90.459,5,1.0,4.0,MEDIUM,0,,
NOR,McLaren,90.456,5,1.0,4.0,MEDIUM,0,,
PIA,McLaren,90.419,5,1.0,4.0,MEDIUM,0,,
RUS,Mercedes,90.689,5,1.0,4.0,MEDIUM,0,,
TSU,AlphaTauri,90.685,5,1.0,4.0,MEDIUM,0,,
ALO,Aston Martin,90.773,5,1.0,4.0,MEDIUM,0,,
GAS,Alpine,90.764,5,1.0,4.0,MEDIUM,0,,
PER,Red Bull Racing,90.797,5,1.0,4.0,MEDIUM,0,,
HAM,Mercedes,90.844,5,1.0,4.0,MEDIUM,0,,
OCO,Alpine,90.994,5,1.0,4.0,MEDIUM,0,,
STR,Aston Martin,91.094,5,1.0,5.0,HARD,0,,
SAI,Ferrari,91.158,5,1.0,4.0,HARD,0,,
HUL,Haas F1 Team,91.227,5,1.0,4.0,MEDIUM,0,,
RIC,AlphaTauri,91.326,5,1.0,4.0,MEDIUM,0,,
BOT,Alfa Romeo,91.445,5,1.0,4.0,HARD,0,,
ZHO,Alfa Romeo,91.44,5,1.0,4.0,MEDIUM,0,,
ALB,Williams,91.422,5,1.0,5.0,MEDIUM,0,,
MAG,Haas F1 Team,93.881,5,1.0,4.0,MEDIUM,0,2023-11-26 13:11:39.528000+00:00,
SAR,Williams,92.275,5,1.0,5.0,MEDIUM,0,,
VER,Red Bull Racing,90.44,6,1.0,5.0,MEDIUM,1,,
LEC,Ferrari,90.544,6,1.0,5.0,MEDIUM,1,,
NOR,McLaren,90.45,6,1.0,5.0,MEDIUM,1,,
PIA,McLaren,90.813,6,1.0,5.0,MEDIUM,1,,
RUS,Mercedes,90.808,6,1.0,5.0,MEDIUM,1,,
TSU,AlphaTauri,90.786,6,1.0,5.0,MEDIUM,1,,
ALO,Aston Martin,90.803,6,1.0,5.0,MEDIUM,1,,
GAS,Alpine,90.886,6,1.0,5.0,MEDIUM,1,,
PER,Red Bull Racing,90.682,6,1.0,5.0,MEDIUM,1,,
HAM,Mercedes,90.634,6,1.0,5.0,MEDIUM,1,,
OCO,Alpine,90.689,6,1.0,5.0,MEDIUM,1,,
STR,Aston Martin,90.795,6,1.0,6.0,HARD,1,,
SAI,Ferrari,91.175,6,1.0,5.0,HARD,1,,
HUL,Haas F1 Team,91.101,6,1.0,5.0,MEDIUM,1,,
RIC,AlphaTauri,91.064,6,1.0,5.0,MEDIUM,1,,
BOT,Alfa Romeo,91.122,6,1.0,5.0,HARD,1,,
ZHO,Alfa Romeo,91.331,6,1.0,5.0,MEDIUM,1,,
ALB,Williams,91.491,6,1.0,6.0,MEDIUM,1,,
SAR,Williams,91.712,6,1.0,6.0,MEDIUM,1,,
MAG,Haas F1 Team,110.942,6,2.0,0.0,HARD,1,,2023-11-26 13:12:02.228000+00:00
VER,Red Bull Racing,90.529,7,1.0,6.0,MEDIUM,0,,
LEC,Ferrari,90.373,7,1.0,6.0,MEDIUM,0,,
NOR,McLaren,90.533,7,1.0,6.0,MEDIUM,0,,
PIA,McLaren,90.953,7,1.0,6.0,MEDIUM,0,,
RUS,Mercedes,90.842,7,1.0,6.0,MEDIUM,0,,
TSU,AlphaTauri,90.826,7,1.0,6.0,MEDIUM,0,,
ALO,Aston Martin,90.782,7,1.0,6.0,MEDIUM,0,,
GAS,Alpine,90.787,7,1.0,6.0,MEDIUM,0,,
PER,Red Bull Racing,90.818,7,1.0,6.0,MEDIUM,0,,
HAM,Mercedes,90.899,7,1.0,6.0,MEDIUM,0,,
OCO,Alpine,90.932,7,1.0,6.0,MEDIUM,0,,
STR,Aston Martin,91.056,7,1.0,7.0,HARD,0,,
SAI,Ferrari,91.301,7,1.0,6.0,HARD,0,,
HUL,Haas F1 Team,91.332,7,1.0,6.0,MEDIUM,0,,
RIC,AlphaTauri,93.072,7,1.0,6.0,MEDIUM,0,2023-11-26 13:14:37.589000+00:00,
BOT,Alfa Romeo,91.189,7,1.0,6.0,HARD,0,,
ZHO,Alfa Romeo,91.227,7,1.0,6.0,MEDIUM,0,,
ALB,Williams,91.438,7,1.0,7.0,MEDIUM,0,,
SAR,Williams,91.157,7,1.0,7.0,MEDIUM,0,,
MAG,Haas F1 Team,90.445,7,2.0,1.0,HARD,0,,
VER,Red Bull Racing,90.516,8,1.0,7.0,MEDIUM,1,,
LEC,Ferrari,90.631,8,1.0,7.0,MEDIUM,1,,
NOR,McLaren,90.676,8,1.0,7.0,MEDIUM,1,,
PIA,McLaren,90.795,8,1.0,7.0,MEDIUM,1,,
RUS,Mercedes,90.933,8,1.0,7.0,MEDIUM,1,,
TSU,AlphaTauri,91.097,8,1.0,7.0,MEDIUM,1,,
ALO,Aston Martin,91.109,8,1.0,7.0,MEDIUM,1,,
GAS,Alpine,90.944,8,1.0,7.0,MEDIUM,1,,
PER,Red Bull Racing,90.993,8,1.0,7.0,MEDIUM,1,,
HAM,Mercedes,91.061,8,1.0,7.0,MEDIUM,1,,
OCO,Alpine,90.997,8,1.0,7.0,MEDIUM,1,,
STR,Aston Martin,90.988,8,1.0,8.0,HARD,1,,
SAI,Ferrari,91.263,8,1.0,7.0,HARD,1,,
HUL,Haas F1 Team,91.5,8,1.0,7.0,MEDIUM,1,,
BOT,Alfa Romeo,91.206,8,1.0,7.0,HARD,1,,
ZHO,Alfa Romeo,91.318,8,1.0,7.0,MEDIUM,1,,
RIC,AlphaTauri,110.258,8,2.0,0.0,HARD,1,,2023-11-26 13:14:59.189000+00:00
ALB,Williams,91.58,8,1.0,8.0,MEDIUM,1,,
SAR,Williams,91.542,8,1.0,8.0,MEDIUM,1,,
MAG,Haas F1 Team,90.312,8,2.0,2.0,HARD,1,,
VER,Red Bull Racing,90.632,9,1.0,8.0,MEDIUM,1,,
LEC,Ferrari,90.431,9,1.0,8.0,MEDIUM,1,,
NOR,McLaren,90.613,9,1.0,8.0,MEDIUM,1,,
PIA,McLaren,90.899,9,1.0,8.0,MEDIUM,1,,
RUS,Mercedes,90.767,9,1.0,8.0,MEDIUM,1,,
TSU,AlphaTauri,90.862,9,1.0,8.0,MEDIUM,1,,
ALO,Aston Martin,90.915,9,1.0,8.0,MEDIUM,1,,
GAS,Alpine,91.305,9,1.0,8.0,MEDIUM,1,,
PER,Red Bull Racing,91.287,9,1.0,8.0,MEDIUM,1,,
HAM,Mercedes,91.132,9,1.0,8.0,MEDIUM,1,,
OCO,Alpine,91.073,9,1.0,8.0,MEDIUM,1,,
STR,Aston Martin,91.195,9,1.0,9.0,HARD,1,,
SAI,Ferrari,90.965,9,1.0,8.0,HARD,1,,
HUL,Haas F1 Team,91.545,9,1.0,8.0,MEDIUM,1,,
BOT,Alfa Romeo,91.716,9,1.0,8.0,HARD,1,,
ZHO,Alfa Romeo,91.662,9,1.0,8.0,MEDIUM,1,,
ALB,Williams,91.644,9,1.0,9.0,MEDIUM,1,,
SAR,Williams,91.408,9,1.0,9.0,MEDIUM,1,,
RIC,AlphaTauri,89.815,9,2.0,1.0,HARD,1,,
MAG,Haas F1 Team,90.325,9,2.0,3.0,HARD,1,,
VER,Red Bull Racing,90.506,10,1.0,9.0,MEDIUM,1,,
LEC,Ferrari,90.609,10,1.0,9.0,MEDIUM,1,,
NOR,McLaren,90.912,10,1.0,9.0,MEDIUM,1,,
PIA,McLaren,91.239,10,1.0,9.0,MEDIUM,1,,
RUS,Mercedes,91.14,10,1.0,9.0,MEDIUM,1,,
TSU,AlphaTauri,91.104,10,1.0,9.0,MEDIUM,1,,
ALO,Aston Martin,91.18,10,1.0,9.0,MEDIUM,1,,
GAS,Alpine,91.136,10,1.0,9.0,MEDIUM,1,,
PER,Red Bull Racing,91.214,10,1.0,9.0,MEDIUM,1,,
HAM,Mercedes,91.271,10,1.0,9.0,MEDIUM,1,,
OCO,Alpine,91.254,10,1.0,9.0,MEDIUM,1,,
STR,Aston Martin,91.074,10,1.0,10.0,HARD,1,,
SAI,Ferrari,91.305,10,1.0,9.0,HARD,1,,
HUL,Haas F1 Team,91.583,10,1.0,9.0,MEDIUM,1,,
BOT,Alfa Romeo,91.713,10,1.0,9.0,HARD,1,,
ZHO,Alfa Romeo,91.936,10,1.0,9.0,MEDIUM,1,,
ALB,Williams,91.978,10,1.0,10.0,MEDIUM,1,,
SAR,Williams,92.038,10,1.0,10.0,MEDIUM,1,,
RIC,AlphaTauri,90.238,10,2.0,2.0,HARD,1,,
MAG,Haas F1 Team,90.814,10,2.0,4.0,HARD,1,,
VER,Red Bull Racing,90.561,11,1.0,10.0,MEDIUM,1,,
LEC,Ferrari,90.613,11,1.0,10.0,MEDIUM,1,,
NOR,McLaren,91.228,11,1.0,10.0,MEDIUM,1,,
PIA,McLaren,92.448,11,1.0,10.0,MEDIUM,1,,
RUS,Mercedes,90.856,11,1.0,10.0,MEDIUM,1,,
TSU,AlphaTauri,91.472,11,1.0,10.0,MEDIUM,1,,
ALO,Aston Martin,91.381,11,1.0,10.0,MEDIUM,1,,
GAS,Alpine,91.467,11,1.0,10.0,MEDIUM,1,,
PER,Red Bull Racing,91.535,11,1.0,10.0,MEDIUM,1,,
HAM,Mercedes,91.378,11,1.0,10.0,MEDIUM,1,,
OCO,Alpine,91.422,11,1.0,10.0,MEDIUM,1,,
STR,Aston Martin,91.367,11,1.0,11.0,HARD,1,,
SAI,Ferrari,91.085,11,1.0,10.0,HARD,1,,
HUL,Haas F1 Team,92.002,11,1.0,10.0,MEDIUM,1,,
BOT,Alfa Romeo,91.616,11,1.0,10.0,HARD,1,,
ZHO,Alfa Romeo,91.845,11,1.0,10.0,MEDIUM,1,,
ALB,Williams,91.962,11,1.0,11.0,MEDIUM,1,,
SAR,Williams,91.882,11,1.0,11.0,MEDIUM,1,,
RIC,AlphaTauri,90.43,11,2.0,3.0,HARD,1,,
MAG,Haas F1 Team,91.051,11,2.0,5.0,HARD,1,,
VER,Red Bull Racing,90.59,12,1.0,11.0,MEDIUM,1,,
LEC,Ferrari,90.584,12,1.0,11.0,MEDIUM,1,,
NOR,McLaren,91.189,12,1.0,11.0,MEDIUM,1,,
RUS,Mercedes,90.95,12,1.0,11.0,MEDIUM,1,,
PIA,McLaren,91.304,12,1.0,11.0,MEDIUM,1,,
TSU,AlphaTauri,91.466,12,1.0,11.0,MEDIUM,1,,
ALO,Aston Martin,93.378,12,1.0,11.0,MEDIUM,1,2023-11-26 13:22:07.037000+00:00,
GAS,Alpine,92.492,12,1.0,11.0,MEDIUM,1,,
PER,Red Bull Racing,90.874,12,1.0,11.0,MEDIUM,1,,
HAM,Mercedes,91.716,12,1.0,11.0,MEDIUM,1,,
OCO,Alpine,91.527,12,1.0,11.0,MEDIUM,1,,
STR,Aston Martin,91.555,12,1.0,12.0,HARD,1,,
SAI,Ferrari,91.278,12,1.0,11.0,HARD,1,,
HUL,Haas F1 Team,91.827,12,1.0,11.0,MEDIUM,1,,
BOT,Alfa Romeo,91.78,12,1.0,11.0,HARD,1,,
ZHO,Alfa Romeo,92.298,12,1.0,11.0,MEDIUM,1,,
ALB,Williams,91.958,12,1.0,12.0,MEDIUM,1,,
SAR,Williams,91.889,12,1.0,12.0,MEDIUM,1,,
RIC,AlphaTauri,90.078,12,2.0,4.0,HARD,1,,
MAG,Haas F1 Team,90.791,12,2.0,6.0,HARD,1,,
VER,Red Bull Racing,90.561,13,1.0,12.0,MEDIUM,1,,
LEC,Ferrari,90.817,13,1.0,12.0,MEDIUM,1,,
NOR,McLaren,91.013,13,1.0,12.0,MEDIUM,1,,
RUS,Mercedes,90.816,13,1.0,12.0,MEDIUM,1,,
PIA,McLaren,92.981,13,1.0,12.0,MEDIUM,1,2023-11-26 13:23:35.848000+00:00,
TSU,AlphaTauri,91.198,13,1.0,12.0,MEDIUM,1,,
PER,Red Bull Racing,91.309,13,1.0,12.0,MEDIUM,1,,
ALO,Aston Martin,110.005,13,2.0,1.0,HARD,1,,2023-11-26 13:22:29.437000+00:00
GAS,Alpine,91.532,13,1.0,12.0,MEDIUM,1,,
HAM,Mercedes,91.689,13,1.0,12.0,MEDIUM,1,,
OCO,Alpine,91.77,13,1.0,12.0,MEDIUM,1,,
STR,Aston Martin,91.631,13,1.0,13.0,HARD,1,,
SAI,Ferrari,91.385,13,1.0,12.0,HARD,1,,
HUL,Haas F1 Team,93.719,13,1.0,12.0,MEDIUM,1,2023-11-26 13:23:47.614000+00:00,
BOT,Alfa Romeo,91.887,13,1.0,12.0,HARD,1,,
ZHO,Alfa Romeo,93.899,13,1.0,12.0,MEDIUM,1,2023-11-26 13:23:51.395000+00:00,
ALB,Williams,91.7,13,1.0,13.0,MEDIUM,1,,
SAR,Williams,92.05,13,1.0,13.0,MEDIUM,1,,
RIC,AlphaTauri,90.271,13,2.0,5.0,HARD,1,,
MAG,Haas F1 Team,90.956,13,2.0,7.0,HARD,1,,
VER,Red Bull Racing,90.647,14,1.0,13.0,MEDIUM,0,,
LEC,Ferrari,90.571,14,1.0,13.0,MEDIUM,0,,
NOR,McLaren,92.394,14,1.0,13.0,MEDIUM,0,2023-11-26 13:25:05.129000+00:00,
RUS,Mercedes,92.471,14,1.0,13.0,MEDIUM,0,2023-11-26 13:25:04.660000+00:00,
TSU,AlphaTauri,90.85,14,1.0,13.0,MEDIUM,0,,
PIA,McLaren,110.084,14,2.0,0.0,HARD,0,,2023-11-26 13:23:57.448000+00:00
PER,Red Bull Racing,91.19,14,1.0,13.0,MEDIUM,0,,
GAS,Alpine,91.457,14,1.0,13.0,MEDIUM,0,,
HAM,Mercedes,91.432,14,1.0,13.0,MEDIUM,0,,
OCO,Alpine,91.647,14,1.0,13.0,MEDIUM,0,,
STR,Aston Martin,91.693,14,1.0,14.0,HARD,0,,
SAI,Ferrari,91.416,14,1.0,13.0,HARD,0,,
BOT,Alfa Romeo,91.709,14,1.0,13.0,HARD,0,,
HUL,Haas F1 Team,110.743,14,2.0,0.0,HARD,0,,2023-11-26 13:24:09.414000+00:00
ALB,Williams,91.655,14,1.0,14.0,MEDIUM,0,,
ZHO,Alfa Romeo,112.402,14,2.0,0.0,HARD,0,,2023-11-26 13:24:14.195000+00:00
SAR,Williams,91.825,14,1.0,14.0,MEDIUM,0,,
ALO,Aston Martin,90.466,14,2.0,2.0,HARD,0,,
RIC,AlphaTauri,90.424,14,2.0,6.0,HARD,0,,
MAG,Haas F1 Team,91.074,14,2.0,8.0,HARD,0,,
VER,Red Bull Racing,90.267,15,1.0,14.0,MEDIUM,1,,
LEC,Ferrari,90.618,15,1.0,14.0,MEDIUM,1,,
NOR,McLaren,113.2,15,2.0,0.0,HARD,1,,2023-11-26 13:25:29.129000+00:00
RUS,Mercedes,109.517,15,2.0,0.0,HARD,1,,2023-11-26 13:25:26.260000+00:00
TSU,AlphaTauri,90.901,15,1.0,14.0,MEDIUM,1,,
PER,Red Bull Racing,91.225,15,1.0,14.0,MEDIUM,1,,
GAS,Alpine,91.986,15,1.0,14.0,MEDIUM,1,,
HAM,Mercedes,93.651,15,1.0,14.0,MEDIUM,1,2023-11-26 13:26:44.159000+00:00,
OCO,Alpine,93.667,15,1.0,14.0,MEDIUM,1,2023-11-26 13:26:45.128000+00:00,
STR,Aston Martin,91.312,15,1.0,15.0,HARD,1,,
SAI,Ferrari,91.619,15,1.0,14.0,HARD,1,,
BOT,Alfa Romeo,91.436,15,1.0,14.0,HARD,1,,
ALB,Williams,91.729,15,1.0,15.0,MEDIUM,1,,
SAR,Williams,94.856,15,1.0,15.0,MEDIUM,1,2023-11-26 13:26:58.221000+00:00,
PIA,McLaren,90.649,15,2.0,1.0,HARD,1,,
ALO,Aston Martin,90.389,15,2.0,3.0,HARD,1,,
RIC,AlphaTauri,90.475,15,2.0,7.0,HARD,1,,
MAG,Haas F1 Team,91.241,15,2.0,9.0,HARD,1,,
HUL,Haas F1 Team,90.133,15,2.0,1.0,HARD,1,,
ZHO,Alfa Romeo,90.762,15,2.0,1.0,HARD,1,,
VER,Red Bull Racing,92.558,16,1.0,15.0,MEDIUM,1,2023-11-26 13:27:58.955000+00:00,
LEC,Ferrari,90.711,16,1.0,15.0,MEDIUM,1,,
TSU,AlphaTauri,91.081,16,1.0,15.0,MEDIUM,1,,
PER,Red Bull Racing,91.375,16,1.0,15.0,MEDIUM,1,,
GAS,Alpine,92.273,16,1.0,15.0,MEDIUM,1,,
STR,Aston Martin,91.293,16,1.0,16.0,HARD,1,,
HAM,Mercedes,110.835,16,2.0,0.0,HARD,1,,2023-11-26 13:27:06.259000+00:00
OCO,Alpine,110.615,16,2.0,0.0,HARD,1,,2023-11-26 13:27:07.228000+00:00
SAI,Ferrari,91.197,16,1.0,15.0,HARD,1,,
BOT,Alfa Romeo,91.475,16,1.0,15.0,HARD,1,,
ALB,Williams,94.282,16,1.0,16.0,MEDIUM,1,2023-11-26 13:28:27.548000+00:00,
RUS,Mercedes,89.537,16,2.0,1.0,HARD,1,,
NOR,McLaren,89.654,16,2.0,1.0,HARD,1,,
PIA,McLaren,90.276,16,2.0,2.0,HARD,1,,
ALO,Aston Martin,90.314,16,2.0,4.0,HARD,1,,
SAR,Williams,111.904,16,2.0,0.0,HARD,1,,2023-11-26 13:27:20.321000+00:00
RIC,AlphaTauri,90.482,16,2.0,8.0,HARD,1,,
MAG,Haas F1 Team,91.91,16,2.0,10.0,HARD,1,,
HUL,Haas F1 Team,90.574,16,2.0,2.0,HARD,1,,
ZHO,Alfa Romeo,90.842,16,2.0,2.0,HARD,1,,
VER,Red Bull Racing,110.188,17,2.0,0.0,HARD,1,,2023-11-26 13:28:20.555000+00:00
LEC,Ferrari,92.468,17,1.0,16.0,MEDIUM,1,2023-11-26 13:29:31.907000+00:00,
TSU,AlphaTauri,91.228,17,1.0,16.0,MEDIUM,1,,
PER,Red Bull Racing,93.256,17,1.0,16.0,MEDIUM,1,2023-11-26 13:29:43.610000+00:00,
GAS,Alpine,94.709,17,1.0,16.0,MEDIUM,1,2023-11-26 13:29:49.782000+00:00,
STR,Aston Martin,90.5,17,1.0,17.0,HARD,1,,
SAI,Ferrari,91.621,17,1.0,16.0,HARD,1,,
BOT,Alfa Romeo,91.561,17,1.0,16.0,HARD,1,,
RUS,Mercedes,90.049,17,2.0,2.0,HARD,1,,
NOR,McLaren,90.133,17,2.0,2.0,HARD,1,,
PIA,McLaren,89.954,17,2.0,3.0,HARD,1,,
ALB,Williams,111.901,17,2.0,0.0,HARD,1,,2023-11-26 13:28:49.648000+00:00
ALO,Aston Martin,90.308,17,2.0,5.0,HARD,1,,
RIC,AlphaTauri,90.391,17,2.0,9.0,HARD,1,,
HAM,Mercedes,90.095,17,2.0,1.0,HARD,1,,
OCO,Alpine,90.134,17,2.0,1.0,HARD,1,,
MAG,Haas F1 Team,92.454,17,2.0,11.0,HARD,1,,
HUL,Haas F1 Team,90.356,17,2.0,3.0,HARD,1,,
ZHO,Alfa Romeo,90.892,17,2.0,3.0,HARD,1,,
SAR,Williams,90.404,17,2.0,1.0,HARD,1,,
LEC,Ferrari,110.342,18,2.0,0.0,HARD,1,,2023-11-26 13:29:53.807000+00:00
TSU,AlphaTauri,91.244,18,1.0,17.0,MEDIUM,1,,
PER,Red Bull Racing,109.031,18,2.0,0.0,HARD,1,,2023-11-26 13:30:05.010000+00:00
STR,Aston Martin,91.011,18,1.0,18.0,HARD,1,,
SAI,Ferrari,90.96,18,1.0,17.0,HARD,1,,
GAS,Alpine,111.405,18,2.0,0.0,HARD,1,,2023-11-26 13:30:12.782000+00:00
VER,Red Bull Racing,89.896,18,2.0,1.0,HARD,1,,
BOT,Alfa Romeo,92.236,18,1.0,17.0,HARD,1,,
RUS,Mercedes,89.522,18,2.0,3.0,HARD,1,,
NOR,McLaren,90.044,18,2.0,3.0,HARD,1,,
PIA,McLaren,90.438,18,2.0,4.0,HARD,1,,
ALO,Aston Martin,90.38,18,2.0,6.0,HARD,1,,
RIC,AlphaTauri,90.697,18,2.0,10.0,HARD,1,,
HAM,Mercedes,90.057,18,2.0,2.0,HARD,1,,
OCO,Alpine,90.276,18,2.0,2.0,HARD,1,,
HUL,Haas F1 Team,91.635,18,2.0,4.0,HARD,1,,
MAG,Haas F1 Team,92.108,18,2.0,12.0,HARD,1,,
ZHO,Alfa Romeo,90.973,18,2.0,4.0,HARD,1,,
ALB,Williams,90.463,18,2.0,1.0,HARD,1,,
SAR,Williams,91.295,18,2.0,2.0,HARD,1,,
TSU,AlphaTauri,91.453,19,1.0,18.0,MEDIUM,0,,
STR,Aston Martin,90.64,19,1.0,19.0,HARD,0,,
SAI,Ferrari,91.551,19,1.0,18.0,HARD,0,,
VER,Red Bull Racing,89.386,19,2.0,2.0,HARD,0,,
LEC,Ferrari,89.908,19,2.0,1.0,HARD,0,,
RUS,Mercedes,90.358,19,2.0,4.0,HARD,0,,
BOT,Alfa Romeo,92.309,19,1.0,18.0,HARD,0,,
NOR,McLaren,89.727,19,2.0,4.0,HARD,0,,
PIA,McLaren,90.498,19,2.0,5.0,HARD,0,,
ALO,Aston Martin,90.205,19,2.0,7.0,HARD,0,,
RIC,AlphaTauri,90.418,19,2.0,11.0,HARD,0,,
PER,Red Bull Racing,89.365,19,2.0,1.0,HARD,0,,
HAM,Mercedes,89.979,19,2.0,3.0,HARD,0,,
OCO,Alpine,90.132,19,2.0,3.0,HARD,0,,
GAS,Alpine,90.0,19,2.0,1.0,HARD,0,,
HUL,Haas F1 Team,90.335,19,2.0,5.0,HARD,0,,
MAG,Haas F1 Team,92.16,19,2.0,13.0,HARD,0,,
ZHO,Alfa Romeo,91.083,19,2.0,5.0,HARD,0,,
ALB,Williams,90.573,19,2.0,2.0,HARD,0,,
SAR,Williams,90.368,19,2.0,3.0,HARD,0,,
TSU,AlphaTauri,91.211,20,1.0,19.0,MEDIUM,0,,
STR,Aston Martin,90.655,20,1.0,20.0,HARD,0,,
VER,Red Bull Racing,89.628,20,2.0,3.0,HARD,0,,
SAI,Ferrari,90.933,20,1.0,19.0,HARD,0,,
LEC,Ferrari,90.073,20,2.0,2.0,HARD,0,,
RUS,Mercedes,90.088,20,2.0,5.0,HARD,0,,
NOR,McLaren,89.902,20,2.0,5.0,HARD,0,,
BOT,Alfa Romeo,92.795,20,1.0,19.0,HARD,0,,
PIA,McLaren,90.088,20,2.0,6.0,HARD,0,,
ALO,Aston Martin,90.38,20,2.0,8.0,HARD,0,,
RIC,AlphaTauri,91.085,20,2.0,12.0,HARD,0,,
PER,Red Bull Racing,89.107,20,2.0,2.0,HARD,0,,
HAM,Mercedes,89.657,20,2.0,4.0,HARD,0,,
OCO,Alpine,90.128,20,2.0,4.0,HARD,0,,
GAS,Alpine,90.242,20,2.0,2.0,HARD,0,,
HUL,Haas F1 Team,90.436,20,2.0,6.0,HARD,0,,
MAG,Haas F1 Team,91.521,20,2.0,14.0,HARD,0,,
ZHO,Alfa Romeo,91.099,20,2.0,6.0,HARD,0,,
ALB,Williams,90.392,20,2.0,3.0,HARD,0,,
SAR,Williams,90.406,20,2.0,4.0,HARD,0,,
TSU,AlphaTauri,91.134,21,1.0,20.0,MEDIUM,1,,
STR,Aston Martin,91.623,21,1.0,21.0,HARD,1,,
VER,Red Bull Racing,89.127,21,2.0,4.0,HARD,1,,
SAI,Ferrari,92.184,21,1.0,20.0,HARD,1,,
LEC,Ferrari,89.724,21,2.0,3.0,HARD,1,,
RUS,Mercedes,90.118,21,2.0,6.0,HARD,1,,
NOR,McLaren,89.781,21,2.0,6.0,HARD,1,,
PIA,McLaren,89.888,21,2.0,7.0,HARD,1,,
ALO,Aston Martin,89.887,21,2.0,9.0,HARD,1,,
BOT,Alfa Romeo,92.462,21,1.0,20.0,HARD,1,,
PER,Red Bull Racing,88.986,21,2.0,3.0,HARD,1,,
RIC,AlphaTauri,90.686,21,2.0,13.0,HARD,1,,
HAM,Mercedes,89.85,21,2.0,5.0,HARD,1,,
OCO,Alpine,90.246,21,2.0,5.0,HARD,1,,
GAS,Alpine,90.422,21,2.0,3.0,HARD,1,,
HUL,Haas F1 Team,90.636,21,2.0,7.0,HARD,1,,
MAG,Haas F1 Team,91.95,21,2.0,15.0,HARD,1,,
ZHO,Alfa Romeo,91.055,21,2.0,7.0,HARD,1,,
ALB,Williams,90.54,21,2.0,4.0,HARD,1,,
SAR,Williams,90.281,21,2.0,5.0,HARD,1,,
TSU,AlphaTauri,92.567,22,1.0,21.0,MEDIUM,0,2023-11-26 13:37:16.167000+00:00,
VER,Red Bull Racing,89.689,22,2.0,5.0,HARD,0,,
STR,Aston Martin,92.915,22,1.0,22.0,HARD,0,2023-11-26 13:37:21.792000+00:00,
LEC,Ferrari,89.704,22,2.0,4.0,HARD,0,,
SAI,Ferrari,92.071,22,1.0,21.0,HARD,0,,
RUS,Mercedes,89.786,22,2.0,7.0,HARD,0,,
NOR,McLaren,90.393,22,2.0,7.0,HARD,0,,
PIA,McLaren,90.496,22,2.0,8.0,HARD,0,,
ALO,Aston Martin,90.463,22,2.0,10.0,HARD,0,,
PER,Red Bull Racing,89.719,22,2.0,4.0,HARD,0,,
BOT,Alfa Romeo,92.922,22,1.0,21.0,HARD,0,,
RIC,AlphaTauri,90.883,22,2.0,14.0,HARD,0,,
HAM,Mercedes,91.502,22,2.0,6.0,HARD,0,,
OCO,Alpine,90.756,22,2.0,6.0,HARD,0,,
GAS,Alpine,90.179,22,2.0,4.0,HARD,0,,
HUL,Haas F1 Team,90.451,22,2.0,8.0,HARD,0,,
MAG,Haas F1 Team,94.337,22,2.0,16.0,HARD,0,2023-11-26 13:37:53.370000+00:00,
ZHO,Alfa Romeo,90.353,22,2.0,8.0,HARD,0,,
ALB,Williams,90.706,22,2.0,5.0,HARD,0,,
SAR,Williams,90.434,22,2.0,6.0,HARD,0,,
TSU,AlphaTauri,110.404,23,2.0,0.0,HARD,0,,2023-11-26 13:37:37.567000+00:00
VER,Red Bull Racing,89.634,23,2.0,6.0,HARD,0,,
LEC,Ferrari,89.847,23,2.0,5.0,HARD,0,,
STR,Aston Martin,108.971,23,2.0,1.0,HARD,0,,2023-11-26 13:37:43.592000+00:00
RUS,Mercedes,89.672,23,2.0,8.0,HARD,0,,
SAI,Ferrari,93.587,23,1.0,22.0,HARD,0,2023-11-26 13:38:58.291000+00:00,
NOR,McLaren,90.24,23,2.0,8.0,HARD,0,,
PIA,McLaren,90.103,23,2.0,9.0,HARD,0,,
ALO,Aston Martin,90.102,23,2.0,11.0,HARD,0,,
PER,Red Bull Racing,89.71,23,2.0,5.0,HARD,0,,
RIC,AlphaTauri,90.476,23,2.0,15.0,HARD,0,,
BOT,Alfa Romeo,92.934,23,1.0,22.0,HARD,0,,
HAM,Mercedes,90.265,23,2.0,7.0,HARD,0,,
OCO,Alpine,91.726,23,2.0,7.0,HARD,0,,
GAS,Alpine,91.158,23,2.0,5.0,HARD,0,,
HUL,Haas F1 Team,91.02,23,2.0,9.0,HARD,0,,
ZHO,Alfa Romeo,90.707,23,2.0,9.0,HARD,0,,
