Driver,driver_id,Team,team_id,LapNumber,Compound,compound_id,TyreLife,Stint,TrackStatus,LapTimeSeconds,log_lap_time
HAM,3,Mercedes,2,50,HARD,3,14,3,1,88.585,4.4839625430524
HAM,3,Mercedes,2,51,HARD,3,15,3,1,88.531,4.483352773165172
HAM,3,Mercedes,2,52,HARD,3,16,3,0,88.372,4.481555177388782
HAM,3,Mercedes,2,53,HARD,3,17,3,1,88.474,4.482708723539791
HAM,3,Mercedes,2,54,HARD,3,18,3,1,88.634,4.484515531177248
HAM,3,Mercedes,2,55,HARD,3,19,3,1,88.584,4.483951254395807
RUS,4,Mercedes,2,2,MEDIUM,2,1,1,0,91.598,4.517409437380582
RUS,4,Mercedes,2,3,MEDIUM,2,2,1,1,90.598,4.506432137750088
RUS,4,Mercedes,2,4,MEDIUM,2,3,1,0,90.797,4.50862624541385
RUS,4,Mercedes,2,9,MEDIUM,2,8,1,1,90.767,4.508295783424986
RUS,4,Mercedes,2,10,MEDIUM,2,9,1,1,91.14,4.512396785835737
RUS,4,Mercedes,2,11,MEDIUM,2,10,1,1,90.856,4.509275835589345
RUS,4,Mercedes,2,19,HARD,3,4,2,0,90.358,4.503779557667377
RUS,4,Mercedes,2,20,HARD,3,5,2,0,90.088,4.500786970394724
RUS,4,Mercedes,2,21,HARD,3,6,2,1,90.118,4.501119922685738
RUS,4,Mercedes,2,25,HARD,3,10,2,0,89.545,4.494741292218703
RUS,4,Mercedes,2,26,HARD,3,11,2,0,89.54,4.49468545281282
RUS,4,Mercedes,2,27,HARD,3,12,2,0,89.432,4.4934785599680245
RUS,4,Mercedes,2,28,HARD,3,13,2,0,89.565,4.4949646186670655
RUS,4,Mercedes,2,39,HARD,3,4,3,1,89.194,4.490813772749609
RUS,4,Mercedes,2,40,HARD,3,5,3,0,88.683,4.48506821367523
RUS,4,Mercedes,2,45,HARD,3,10,3,1,88.187,4.479459559859185
RUS,4,Mercedes,2,46,HARD,3,11,3,1,88.192,4.479516255951139
RUS,4,Mercedes,2,47,HARD,3,12,3,1,88.261,4.480298333938103
RUS,4,Mercedes,2,48,HARD,3,13,3,1,88.53,4.483341477622957
RUS,4,Mercedes,2,49,HARD,3,14,3,0,88.428,4.482188661572862
RUS,4,Mercedes,2,50,HARD,3,15,3,1,88.4,4.481871969643598
RUS,4,Mercedes,2,51,HARD,3,16,3,1,88.692,4.48516969359075
RUS,4,Mercedes,2,52,HARD,3,17,3,0,88.877,4.487253391386379
RUS,4,Mercedes,2,53,HARD,3,18,3,1,88.825,4.48666814190709
RUS,4,Mercedes,2,54,HARD,3,19,3,1,90.038,4.500231803441767
RUS,4,Mercedes,2,55,HARD,3,20,3,1,88.976,4.488366670445208
LEC,5,Ferrari,3,2,MEDIUM,2,1,1,0,91.117,4.512144394979725
LEC,5,Ferrari,3,3,MEDIUM,2,2,1,1,90.5,4.505349850705881
LEC,5,Ferrari,3,4,MEDIUM,2,3,1,0,90.884,4.509583968088757
LEC,5,Ferrari,3,9,MEDIUM,2,8,1,1,90.431,4.5045871289683665
LEC,5,Ferrari,3,10,MEDIUM,2,9,1,1,90.609,4.506553545863611
LEC,5,Ferrari,3,11,MEDIUM,2,10,1,1,90.613,4.506597690614255
LEC,5,Ferrari,3,19,HARD,3,1,2,0,89.908,4.498786925282581
LEC,5,Ferrari,3,20,HARD,3,2,2,0,90.073,4.500620452668528
LEC,5,Ferrari,3,21,HARD,3,3,2,1,89.724,4.496738291805779
LEC,5,Ferrari,3,25,HARD,3,7,2,0,89.707,4.496548803924076
LEC,5,Ferrari,3,26,HARD,3,8,2,0,89.655,4.495968970944327
LEC,5,Ferrari,3,27,HARD,3,9,2,0,89.21,4.490993140925692
LEC,5,Ferrari,3,28,HARD,3,10,2,0,89.556,4.494864127937251
LEC,5,Ferrari,3,39,HARD,3,3,3,1,88.759,4.48592483166474
LEC,5,Ferrari,3,40,HARD,3,4,3,0,88.546,4.483522190989462
LEC,5,Ferrari,3,45,HARD,3,9,3,1,88.395,4.4818154069579865
LEC,5,Ferrari,3,46,HARD,3,10,3,1,88.446,4.482392196293196
LEC,5,Ferrari,3,47,HARD,3,11,3,1,88.221,4.479845029910668
LEC,5,Ferrari,3,48,HARD,3,12,3,1,88.419,4.482086878675694
LEC,5,Ferrari,3,49,HARD,3,13,3,0,88.396,4.481826719751059
LEC,5,Ferrari,3,50,HARD,3,14,3,1,88.258,4.480264343262876
LEC,5,Ferrari,3,51,HARD,3,15,3,1,88.695,4.485203517940903
LEC,5,Ferrari,3,52,HARD,3,16,3,0,88.603,4.484165717082943
LEC,5,Ferrari,3,53,HARD,3,17,3,1,88.545,4.4835108973607625
LEC,5,Ferrari,3,54,HARD,3,18,3,1,88.778,4.486138871555833
LEC,5,Ferrari,3,55,HARD,3,19,3,1,88.552,4.4835899500833225
SAI,6,Ferrari,3,2,HARD,3,1,1,0,91.98,4.521571162111778
SAI,6,Ferrari,3,3,HARD,3,2,1,1,91.308,4.514238406982386
SAI,6,Ferrari,3,4,HARD,3,3,1,0,91.099,4.511946827257257
SAI,6,Ferrari,3,9,HARD,3,8,1,1,90.965,4.510474817148767
SAI,6,Ferrari,3,10,HARD,3,9,1,1,91.305,4.5142055506139975
SAI,6,Ferrari,3,11,HARD,3,10,1,1,91.085,4.511793136482792
SAI,6,Ferrari,3,19,HARD,3,18,1,0,91.551,4.516896194053764
SAI,6,Ferrari,3,20,HARD,3,19,1,0,90.933,4.5101229716053295
SAI,6,Ferrari,3,21,HARD,3,20,1,1,92.184,4.523786579711714
SAI,6,Ferrari,3,25,HARD,3,1,2,0,90.188,4.501896380524266
SAI,6,Ferrari,3,26,HARD,3,2,2,0,90.007,4.499887445083508
SAI,6,Ferrari,3,27,HARD,3,3,2,0,89.841,4.498041441267616
SAI,6,Ferrari,3,28,HARD,3,4,2,0,89.977,4.499554082114824
SAI,6,Ferrari,3,39,HARD,3,15,2,1,90.581,4.5062444780318
SAI,6,Ferrari,3,40,HARD,3,16,2,0,89.635,4.495745868706802
SAI,6,Ferrari,3,45,HARD,3,21,2,1,90.132,4.501275262491875
SAI,6,Ferrari,3,46,HARD,3,22,2,1,90.712,4.507689652669539
SAI,6,Ferrari,3,47,HARD,3,23,2,1,91.102,4.511979757921746
SAI,6,Ferrari,3,48,HARD,3,24,2,1,90.565,4.50606782494488
SAI,6,Ferrari,3,49,HARD,3,25,2,0,90.033,4.500176269791137
SAI,6,Ferrari,3,50,HARD,3,26,2,1,89.873,4.49839756266426
SAI,6,Ferrari,3,51,HARD,3,27,2,1,89.718,4.496671417829762
SAI,6,Ferrari,3,52,HARD,3,28,2,0,89.645,4.49585742604739
SAI,6,Ferrari,3,53,HARD,3,29,2,1,89.775,4.497306540112147
SAI,6,Ferrari,3,54,HARD,3,30,2,1,89.734,4.49684973849537
SAI,6,Ferrari,3,55,HARD,3,31,2,1,89.654,4.495957817014519
NOR,7,McLaren,4,2,MEDIUM,2,1,1,0,91.43,4.515573652176335
NOR,7,McLaren,4,3,MEDIUM,2,2,1,1,90.714,4.507711700226119
NOR,7,McLaren,4,4,MEDIUM,2,3,1,0,90.188,4.501896380524266
NOR,7,McLaren,4,9,MEDIUM,2,8,1,1,90.613,4.506597690614255
NOR,7,McLaren,4,10,MEDIUM,2,9,1,1,90.912,4.5098920056717775
NOR,7,McLaren,4,11,MEDIUM,2,10,1,1,91.228,4.513361867503903
NOR,7,McLaren,4,19,HARD,3,4,2,0,89.727,4.496771727116814
NOR,7,McLaren,4,20,HARD,3,5,2,0,89.902,4.498720188171161
NOR,7,McLaren,4,21,HARD,3,6,2,1,89.781,4.497373371629915
NOR,7,McLaren,4,25,HARD,3,10,2,0,89.637,4.495768181170545
NOR,7,McLaren,4,26,HARD,3,11,2,0,89.308,4.49209106953619
NOR,7,McLaren,4,27,HARD,3,12,2,0,89.48,4.494015136621929
NOR,7,McLaren,4,28,HARD,3,13,2,0,89.469,4.493892196566227
NOR,7,McLaren,4,39,HARD,3,5,3,1,89.432,4.4934785599680245
NOR,7,McLaren,4,40,HARD,3,6,3,0,89.243,4.491362986211298
NOR,7,McLaren,4,45,HARD,3,11,3,1,88.164,4.479198716426141
NOR,7,McLaren,4,46,HARD,3,12,3,1,88.187,4.479459559859185
NOR,7,McLaren,4,47,HARD,3,13,3,1,88.568,4.483770618557165
NOR,7,McLaren,4,48,HARD,3,14,3,1,89.763,4.497172863675761
NOR,7,McLaren,4,49,HARD,3,15,3,0,88.797,4.4863528656436555
NOR,7,McLaren,4,50,HARD,3,16,3,1,88.634,4.484515531177248
NOR,7,McLaren,4,51,HARD,3,17,3,1,88.526,4.483296294178164
NOR,7,McLaren,4,52,HARD,3,18,3,0,88.839,4.486825742771971
NOR,7,McLaren,4,53,HARD,3,19,3,1,88.557,4.483646412487846
NOR,7,McLaren,4,54,HARD,3,20,3,1,88.59,4.484018984423941
NOR,7,McLaren,4,55,HARD,3,21,3,1,88.458,4.482527863095737
PIA,8,McLaren,4,2,MEDIUM,2,1,1,0,91.075,4.511683342894628
PIA,8,McLaren,4,3,MEDIUM,2,2,1,1,90.631,4.506796317879811
PIA,8,McLaren,4,4,MEDIUM,2,3,1,0,91.816,4.519786574378367
PIA,8,McLaren,4,9,MEDIUM,2,8,1,1,90.899,4.50974900002281
PIA,8,McLaren,4,10,MEDIUM,2,9,1,1,91.239,4.513482437250908
PIA,8,McLaren,4,11,MEDIUM,2,10,1,1,92.448,4.526646324283825
PIA,8,McLaren,4,19,HARD,3,5,2,0,90.498,4.50532775101417
PIA,8,McLaren,4,20,HARD,3,6,2,0,90.088,4.500786970394724
PIA,8,McLaren,4,21,HARD,3,7,2,1,89.888,4.498564450921833
PIA,8,McLaren,4,25,HARD,3,11,2,0,90.028,4.50012073305635
PIA,8,McLaren,4,26,HARD,3,12,2,0,89.918,4.498898143905142
PIA,8,McLaren,4,27,HARD,3,13,2,0,89.602,4.495377641160337
PIA,8,McLaren,4,28,HARD,3,14,2,0,91.036,4.511255032681667
PIA,8,McLaren,4,39,HARD,3,2,3,1,88.65,4.484696032520217
PIA,8,McLaren,4,40,HARD,3,3,3,0,88.683,4.48506821367523
PIA,8,McLaren,4,45,HARD,3,8,3,1,88.149,4.479028564480043
PIA,8,McLaren,4,46,HARD,3,9,3,1,88.806,4.486454215283107
PIA,8,McLaren,4,47,HARD,3,10,3,1,89.266,4.49162067630118
PIA,8,McLaren,4,48,HARD,3,11,3,1,89.061,4.489321528215877
PIA,8,McLaren,4,49,HARD,3,12,3,0,89.445,4.493623911243179
PIA,8,McLaren,4,50,HARD,3,13,3,1,88.761,4.4859473643371155
PIA,8,McLaren,4,51,HARD,3,14,3,1,88.556,4.483635120261979
PIA,8,McLaren,4,52,HARD,3,15,3,0,88.397,4.481838032416153
PIA,8,McLaren,4,53,HARD,3,16,3,1,88.788,4.486251505731414
PIA,8,McLaren,4,54,HARD,3,17,3,1,88.536,4.483409248962484
PIA,8,McLaren,4,55,HARD,3,18,3,1,88.729,4.485586780638353
ALO,9,Aston Martin,5,2,MEDIUM,2,1,1,0,91.755,4.5191219813626375
ALO,9,Aston Martin,5,3,MEDIUM,2,2,1,1,90.823,4.5089125574959725
ALO,9,Aston Martin,5,4,MEDIUM,2,3,1,0,90.66,4.507116245512703
ALO,9,Aston Martin,5,9,MEDIUM,2,8,1,1,90.915,4.509925004071358
ALO,9,Aston Martin,5,10,MEDIUM,2,9,1,1,91.18,4.512835574785296
ALO,9,Aston Martin,5,11,MEDIUM,2,10,1,1,91.381,4.515037579388883
ALO,9,Aston Martin,5,19,HARD,3,7,2,0,90.205,4.502084857904766
ALO,9,Aston Martin,5,20,HARD,3,8,2,0,90.38,4.504023003983134
ALO,9,Aston Martin,5,21,HARD,3,9,2,1,89.887,4.49855332590445
ALO,9,Aston Martin,5,25,HARD,3,13,2,0,90.951,4.510320899955913
ALO,9,Aston Martin,5,26,HARD,3,14,2,0,89.936,4.499098306259719
ALO,9,Aston Martin,5,27,HARD,3,15,2,0,90.229,4.5023508831565655
ALO,9,Aston Martin,5,28,HARD,3,16,2,0,90.559,4.506001571991078
ALO,9,Aston Martin,5,39,HARD,3,3,3,1,88.8,4.486386649998124
ALO,9,Aston Martin,5,40,HARD,3,4,3,0,88.617,4.484323712794818
ALO,9,Aston Martin,5,45,HARD,3,9,3,1,90.177,4.501774405639852
ALO,9,Aston Martin,5,46,HARD,3,10,3,1,88.554,4.483612535427694
ALO,9,Aston Martin,5,47,HARD,3,11,3,1,88.625,4.484413984852291
ALO,9,Aston Martin,5,48,HARD,3,12,3,1,88.592,4.484041560080612
ALO,9,Aston Martin,5,49,HARD,3,13,3,0,88.5,4.483002552013883
ALO,9,Aston Martin,5,50,HARD,3,14,3,1,88.619,4.4843462815731705
ALO,9,Aston Martin,5,51,HARD,3,15,3,1,88.491,4.482900851927351
ALO,9,Aston Martin,5,52,HARD,3,16,3,0,88.604,4.484177003318814
ALO,9,Aston Martin,5,53,HARD,3,17,3,1,88.714,4.485417712261063
ALO,9,Aston Martin,5,54,HARD,3,18,3,1,89.174,4.490589517276836
ALO,9,Aston Martin,5,55,HARD,3,19,3,1,88.952,4.488096898400948
STR,10,Aston Martin,5,2,HARD,3,2,1,0,91.963,4.521386322242379
STR,10,Aston Martin,5,3,HARD,3,3,1,1,90.927,4.510056986781815
STR,10,Aston Martin,5,4,HARD,3,4,1,0,91.017,4.511046302256252
STR,10,Aston Martin,5,9,HARD,3,9,1,1,91.195,4.513000071015961
STR,10,Aston Martin,5,10,HARD,3,10,1,1,91.074,4.511672362872777
STR,10,Aston Martin,5,11,HARD,3,11,1,1,91.367,4.514884362937514
STR,10,Aston Martin,5,19,HARD,3,19,1,0,90.64,4.506895616719751
STR,10,Aston Martin,5,20,HARD,3,20,1,0,90.655,4.507061092877772
STR,10,Aston Martin,5,21,HARD,3,21,1,1,91.623,4.517682331864895
STR,10,Aston Martin,5,25,HARD,3,3,2,0,89.87,4.498364181670282
STR,10,Aston Martin,5,26,HARD,3,4,2,0,88.86,4.487062097507763
STR,10,Aston Martin,5,27,HARD,3,5,2,0,90.191,4.501929643819885
STR,10,Aston Martin,5,28,HARD,3,6,2,0,90.312,4.5032703419592455
STR,10,Aston Martin,5,39,HARD,3,17,2,1,90.305,4.503192829875627
STR,10,Aston Martin,5,40,HARD,3,18,2,0,90.099,4.500909065773566
STR,10,Aston Martin,5,45,MEDIUM,2,2,3,1,88.177,4.479346158031026
STR,10,Aston Martin,5,46,MEDIUM,2,3,3,1,88.239,4.48004904215211
STR,10,Aston Martin,5,47,MEDIUM,2,4,3,1,88.535,4.48339795405818
STR,10,Aston Martin,5,48,MEDIUM,2,5,3,1,88.639,4.484571941346888
STR,10,Aston Martin,5,49,MEDIUM,2,6,3,0,89.03,4.48897339158558
STR,10,Aston Martin,5,50,MEDIUM,2,7,3,1,88.81,4.486499256270413
STR,10,Aston Martin,5,51,MEDIUM,2,8,3,1,88.801,4.486397911195978
STR,10,Aston Martin,5,52,MEDIUM,2,9,3,0,88.864,4.487107111124389
STR,10,Aston Martin,5,53,MEDIUM,2,10,3,1,89.205,4.490937091826667
STR,10,Aston Martin,5,54,MEDIUM,2,11,3,1,89.301,4.4920126860280405
STR,10,Aston Martin,5,55,MEDIUM,2,12,3,1,89.458,4.493769241394411
GAS,11,Alpine,6,2,MEDIUM,2,1,1,0,91.774,4.519329033109968
GAS,11,Alpine,6,3,MEDIUM,2,2,1,1,90.824,4.508923567862232
GAS,11,Alpine,6,4,MEDIUM,2,3,1,0,90.758,4.508196623529574
GAS,11,Alpine,6,9,MEDIUM,2,8,1,1,91.305,4.5142055506139975
GAS,11,Alpine,6,10,MEDIUM,2,9,1,1,91.136,4.512352896349456
GAS,11,Alpine,6,11,MEDIUM,2,10,1,1,91.467,4.515978251491849
GAS,11,Alpine,6,19,HARD,3,1,2,0,90,4.499809670330265
GAS,11,Alpine,6,20,HARD,3,2,2,0,90.242,4.502494950624718
GAS,11,Alpine,6,21,HARD,3,3,2,1,90.422,4.504487600622059
GAS,11,Alpine,6,25,HARD,3,7,2,0,90.852,4.50923180890917
GAS,11,Alpine,6,26,HARD,3,8,2,0,90.629,4.506774250131824
GAS,11,Alpine,6,27,HARD,3,9,2,0,90.404,4.504288514206837
GAS,11,Alpine,6,28,HARD,3,10,2,0,90.496,4.505305650834053
GAS,11,Alpine,6,39,HARD,3,6,3,1,90.797,4.50862624541385
GAS,11,Alpine,6,40,HARD,3,7,3,0,89.859,4.498241775158102
GAS,11,Alpine,6,45,HARD,3,12,3,1,89.503,4.494272144272115
GAS,11,Alpine,6,46,HARD,3,13,3,1,89.428,4.493433832248012
GAS,11,Alpine,6,47,HARD,3,14,3,1,89.726,4.496760582137348
GAS,11,Alpine,6,48,HARD,3,15,3,1,89.505,4.494294489642155
GAS,11,Alpine,6,49,HARD,3,16,3,0,89.518,4.4944397223778685
GAS,11,Alpine,6,50,HARD,3,17,3,1,89.549,4.49478596149853
GAS,11,Alpine,6,51,HARD,3,18,3,1,89.445,4.493623911243179
GAS,11,Alpine,6,52,HARD,3,19,3,0,89.587,4.495210220168702
GAS,11,Alpine,6,53,HARD,3,20,3,1,89.532,4.494596103277377
GAS,11,Alpine,6,54,HARD,3,21,3,1,89.435,4.493512104445209
GAS,11,Alpine,6,55,HARD,3,22,3,1,89.307,4.492079872268324
OCO,12,Alpine,6,2,MEDIUM,2,1,1,0,91.81,4.519721224155608
OCO,12,Alpine,6,3,MEDIUM,2,2,1,1,91.033,4.511222078142451
OCO,12,Alpine,6,4,MEDIUM,2,3,1,0,90.988,4.510727629689615
OCO,12,Alpine,6,9,MEDIUM,2,8,1,1,91.073,4.511661382730365
OCO,12,Alpine,6,10,MEDIUM,2,9,1,1,91.254,4.513646827118286
OCO,12,Alpine,6,11,MEDIUM,2,10,1,1,91.422,4.515486149715272
OCO,12,Alpine,6,19,HARD,3,3,2,0,90.132,4.501275262491875
OCO,12,Alpine,6,20,HARD,3,4,2,0,90.128,4.501230882152358
OCO,12,Alpine,6,21,HARD,3,5,2,1,90.246,4.502539274901131
OCO,12,Alpine,6,25,HARD,3,9,2,0,90.338,4.503558191393838
OCO,12,Alpine,6,26,HARD,3,10,2,0,90.993,4.510782580481195
OCO,12,Alpine,6,27,HARD,3,11,2,0,90.578,4.5062113579549585
OCO,12,Alpine,6,28,HARD,3,12,2,0,90.322,4.503381063086057
OCO,12,Alpine,6,39,HARD,3,23,2,1,92.095,4.522820652971066
OCO,12,Alpine,6,40,HARD,3,24,2,0,90.447,4.504764043795396
OCO,12,Alpine,6,45,HARD,3,29,2,1,90.163,4.501619143357185
OCO,12,Alpine,6,46,HARD,3,30,2,1,90.113,4.501064438335084
OCO,12,Alpine,6,47,HARD,3,31,2,1,90.177,4.501774405639852
OCO,12,Alpine,6,48,HARD,3,32,2,1,90.359,4.503790624694829
OCO,12,Alpine,6,49,HARD,3,33,2,0,90.258,4.502672235943741
OCO,12,Alpine,6,50,HARD,3,34,2,1,90.986,4.510705648527471
OCO,12,Alpine,6,51,HARD,3,35,2,1,90.31,4.503248196262708
OCO,12,Alpine,6,52,HARD,3,36,2,0,90.984,4.5106836668821435
OCO,12,Alpine,6,53,HARD,3,37,2,1,90.283,4.502949181348495
OCO,12,Alpine,6,54,HARD,3,38,2,1,90.272,4.502827334819586
OCO,12,Alpine,6,55,HARD,3,39,2,1,90.287,4.502993485496479
ALB,13,Williams,7,2,MEDIUM,2,2,1,0,93.56,4.538602941715978
ALB,13,Williams,7,3,MEDIUM,2,3,1,1,91.768,4.5192636529789665
ALB,13,Williams,7,4,MEDIUM,2,4,1,0,91.591,4.517333013577806
ALB,13,Williams,7,9,MEDIUM,2,9,1,1,91.644,4.517911505694247
ALB,13,Williams,7,10,MEDIUM,2,10,1,1,91.978,4.521549418018016
ALB,13,Williams,7,11,MEDIUM,2,11,1,1,91.962,4.521375448244826
ALB,13,Williams,7,19,HARD,3,2,2,0,90.573,4.506156155389129
ALB,13,Williams,7,20,HARD,3,3,2,0,90.392,4.504155767906945
ALB,13,Williams,7,21,HARD,3,4,2,1,90.54,4.505791742007813
ALB,13,Williams,7,25,HARD,3,8,2,0,90.655,4.507061092877772
ALB,13,Williams,7,26,HARD,3,9,2,0,90.092,4.500831370439132
ALB,13,Williams,7,27,HARD,3,10,2,0,90.728,4.507866019513029
ALB,13,Williams,7,28,HARD,3,11,2,0,90.631,4.506796317879811
ALB,13,Williams,7,39,HARD,3,22,2,1,90.497,4.505316700985164
ALB,13,Williams,7,40,HARD,3,23,2,0,90.331,4.503480701619682
ALB,13,Williams,7,45,HARD,3,1,3,1,87.845,4.475573897817018
ALB,13,Williams,7,46,HARD,3,2,3,1,88.694,4.485192243284639
ALB,13,Williams,7,47,HARD,3,3,3,1,88.74,4.4857107459507635
ALB,13,Williams,7,48,HARD,3,4,3,1,88.92,4.487737089095996
ALB,13,Williams,7,49,HARD,3,5,3,0,88.761,4.4859473643371155
ALB,13,Williams,7,50,HARD,3,6,3,1,89.011,4.488759957600463
ALB,13,Williams,7,51,HARD,3,7,3,1,88.675,4.4849780006596855
ALB,13,Williams,7,52,HARD,3,8,3,0,88.402,4.481894593822059
ALB,13,Williams,7,53,HARD,3,9,3,1,88.608,4.484222146988551
ALB,13,Williams,7,54,HARD,3,10,3,1,88.812,4.48652177600333
ALB,13,Williams,7,55,HARD,3,11,3,1,88.742,4.485733283447525
SAR,14,Williams,7,2,MEDIUM,2,2,1,0,93.582,4.538838057297744
SAR,14,Williams,7,3,MEDIUM,2,3,1,1,91.4,4.515245478460105
